	Unnamed: 0.1	Unnamed: 0	INDEX	form	lemma	xpos	syllables	stress	phon
98525	98525	304243	304243	variații	variație	Ncfp-n	va.ria.ții	vari'ații	v a r j a ts i j
98530	98530	304249	304249	variațiune	=	Ncfsrn	va.ri.a.țiu.ne	variați'une	v a r i a ts j u n e
98532	98532	304251	304251	variațiuni	variațiune	Ncfp-n	va.ri.a.ți.uni	variați'uni	v a r i a ts i u n i_0
99383	99383	306094	306094	vicecampion	=	Ncms-n	vi.ce.cam.pion	vicecampi'on	v i tS e k a m p j o n
99384	99384	306095	306095	vicecampioni	vicecampion	Ncmp-n	vi.ce.cam.pi.oni	vicecampi'oni	v i tS e k a m p i o n i_0
99644	99644	306685	306685	viitor	=	Ncms-n	vi.i.tor	viit'or	v i i t o r
99647	99647	306693	306693	viitoruri	viitor	Ncfp-n	vii.to.ruri	viit'oruri	v i j t o r u r i_0
99815	99815	307016	307016	vioiciune	=	Ncfsrn	vi.o.i.ciu.ne	vioici'une	v i o i tS u n e
99817	99817	307018	307018	vioiciuni	vioiciune	Ncfp-n	vio.i.ciuni	vioici'uni	v j o i tS u n i_0
100300	100300	308318	308318	voi	voie	Ncfp-n	voi	voi	v o j
100315	100315	308347	308347	voie	=	Ncfsrn	vo.ie	v'oie	v o j e
100841	100841	309545	309545	vânătaie	=	Ncfsrn	vâ.nă.ta.ie	vânăt'aie	v 1 n @ t a j e
100857	100857	309575	309575	vânătăi	vânătaie	Ncfp-n	vâ.nă.tăi	vânăt'ăi	v 1 n @ t @ j
101128	101128	310458	310458	zăitin	=	Ncms-n	ză.i.tin	zăit'in	z @ i t i n
101131	101131	310461	310461	zăitinuri	zăitin	Ncfp-n	zăi.ti.nuri	zăit'inuri	z @ j t i n u r i_0
103663	103663	326495	326495	înscriere	=	Ncfsrn	în.scrie.re	înscr'iere	1 n s k r j e r e
103665	103665	326497	326497	înscrieri	înscriere	Ncfp-n	în.scri.eri	înscr'ieri	1 n s k r i e r i_0
