	input_form	input_syll	input_des	output_form	output_syll	output_des	input_index	output_index	change_sequences
966	molid	mo.l'id		molizi	mo.l'izi	i	181032	181126	^/^ m/m o/o l/l 'i/'i d/z $/$
967	dormitor	dor.mi.t'or		dormitoare	dor.mi.to'a.re	e	109720	109717	^/^ d/d o/o r/r m/m i/i t/t 'o/o'a r/r $/$
968	bucălaie	bu.că.l'a.ie	ie	bucălăi	bu.că.l'ăi	i	52544	52546	^/^ b/b u/u c/c ă/ă l/l 'a/'ă $/$
969	fărâmătură	fă.râ.mă.t'u.ră	ă	fărâmături	fă.râ.mă.t'uri	i	123340	123335	^/^ f/f ă/ă r/r â/â m/m ă/ă t/t 'u/'u r/r $/$
970	clauză	cl'a.u.ză	ă	clauze	cl'a.u.ze	e	67611	67606	^/^ c/c l/l 'a/'a u/u z/z $/$
971	hidrant	hi.dr'ant		hidrante	hi.dr'an.te	e	142311	142312	^/^ h/h i/i d/d r/r 'a/'a n/n t/t $/$
972	hidrant	hi.dr'ant		hidranți	hi.dr'anți	i	142311	142317	^/^ h/h i/i d/d r/r 'a/'a n/n t/ț $/$
973	stricăciune	stri.că.ci'u.ne	e	stricăciuni	stri.că.ci'uni	i	279243	279246	^/^ s/s t/t r/r i/i c/c ă/ă c/c i/i 'u/'u n/n $/$
974	coroniță	co.ro.n'i.ță	ă	coronițe	co.ro.n'i.țe	e	81250	81244	^/^ c/c o/o r/r o/o n/n 'i/'i ț/ț $/$
975	gâtlej	gâ.tl'ej		gâtlejuri	gâ.tl'e.juri	uri	140618	140621	^/^ g/g â/â t/t l/l 'e/'e j/j $/$
976	radio	r'a.di.o		radiouri	ra.di.'o.uri	uri	241803	242296	^/^ r/r 'a/a d/d i/i o/'o $/$
977	virgină	vir.g'i.nă	ă	virgine	vir.g'i.ne	e	307350	307336	^/^ v/v i/i r/r g/g 'i/'i n/n $/$
978	antiteză	an.ti.t'e.ză	ă	antiteze	an.ti.t'e.ze	e	32829	32824	^/^ a/a n/n t/t i/i t/t 'e/'e z/z $/$
979	neștiință	ne.ști.'in.ță	ă	neștiințe	ne.ști.'in.țe	e	187259	187240	^/^ n/n e/e ș/ș t/t i/i 'i/'i n/n ț/ț $/$
980	episcopie	e.pis.co.p'i.e	e	episcopii	e.pis.co.p'ii	i	116649	116652	^/^ e/e p/p i/i s/s c/c o/o p/p 'i/'i $/$
981	ricin	ri.c'in		ricini	ri.c'ini	i	256127	256128	^/^ r/r i/i c/c 'i/'i n/n $/$
982	trezire	tre.z'i.re	e	treziri	tre.z'iri	i	295964	295966	^/^ t/t r/r e/e z/z 'i/'i r/r $/$
983	radioastronom	ra.di.o.as.tro.n'om		radioastronomi	ra.di.o.as.tro.n'omi	i	241858	241859	^/^ r/r a/a d/d i/i o/o a/a s/s t/t r/r o/o n/n 'o/'o m/m $/$
984	cleveteală	cle.ve.te'a.lă	ă	cleveteli	cle.ve.t'eli	i	67793	67794	^/^ c/c l/l e/e v/v e/e t/t e'a/'e l/l $/$
985	friptură	frip.t'u.ră	ă	fripturi	frip.t'uri	i	131904	131896	^/^ f/f r/r i/i p/p t/t 'u/'u r/r $/$
986	berbantlâc	ber.bant.l'âc		berbantlâcuri	ber.bant.l'â.curi	uri	47198	47201	^/^ b/b e/e r/r b/b a/a n/n t/t l/l 'â/'â c/c $/$
987	atingere	a.t'in.ge.re	e	atingeri	a.t'in.geri	i	39508	39510	^/^ a/a t/t 'i/'i n/n g/g e/e r/r $/$
988	partener	par.te.n'er		parteneri	par.te.n'eri	i	213704	213718	^/^ p/p a/a r/r t/t e/e n/n 'e/'e r/r $/$
989	glod	gl'od		gloduri	gl'o.duri	uri	137354	137358	^/^ g/g l/l 'o/'o d/d $/$
990	extract	ex.tr'act		extracte	ex.tr'ac.te	e	122534	122535	^/^ e/e x/x t/t r/r 'a/'a c/c t/t $/$
991	arsură	ar.s'u.ră	ă	arsuri	ar.s'uri	i	36765	36760	^/^ a/a r/r s/s 'u/'u r/r $/$
992	calmant	cal.m'ant		calmante	cal.m'an.te	e	57218	57222	^/^ c/c a/a l/l m/m 'a/'a n/n t/t $/$
993	biosferă	bi.o.sf'e.ră	ă	biosfere	bi.o.sf'e.re	e	48492	48487	^/^ b/b i/i o/o s/s f/f 'e/'e r/r $/$
994	romeu	ro.m'eu	u	romei	ro.m'ei	i	257551	257546	^/^ r/r o/o m/m 'e/'e $/$
995	metalimbaj	me.ta.lim.b'aj		metalimbaje	me.ta.lim.b'a.je	e	176053	176054	^/^ m/m e/e t/t a/a l/l i/i m/m b/b 'a/'a j/j $/$
996	pilă	p'i.lă	ă	pile	p'i.le	e	219430	219467	^/^ p/p 'i/'i l/l $/$
997	petec	p'e.tec		petece	p'e.te.ce	e	218128	218129	^/^ p/p 'e/'e t/t e/e c/c $/$
998	liniuță	li.ni.'u.ță	ă	liniuțe	li.ni.'u.țe	e	166537	166531	^/^ l/l i/i n/n i/i 'u/'u ț/ț $/$
999	semestru	se.m'es.tru	u	semestre	se.m'es.tre	e	266341	266323	^/^ s/s e/e m/m 'e/'e s/s t/t r/r $/$
1000	paragină	pa.r'a.gi.nă	ă	paragini	pa.r'a.gini	i	212717	212712	^/^ p/p a/a r/r 'a/'a g/g i/i n/n $/$
1001	șosea	șo.se'a		șosele	șo.s'e.le	le	2068	2070	^/^ ș/ș o/o s/s e'a/'e $/$
1002	asamblare	a.sam.bl'a.re	e	asamblări	a.sam.bl'ări	i	37202	37186	^/^ a/a s/s a/a m/m b/b l/l 'a/'ă r/r $/$
1003	compendium	com.p'en.di.um		compendiumuri	com.p'en.di.u.muri	uri	71878	71881	^/^ c/c o/o m/m p/p 'e/'e n/n d/d i/i u/u m/m $/$
1004	efor	'e.for		efori	'e.fori	i	113814	113815	^/^ 'e/'e f/f o/o r/r $/$
1005	poteraș	po.te.r'aș		poterași	po.te.r'ași	i	226101	226102	^/^ p/p o/o t/t e/e r/r 'a/'a ș/ș $/$
1006	sportsman	sports.m'an		sportsmeni	sports.m'eni	i	275604	275608	^/^ s/s p/p o/o r/r t/t s/s m/m 'a/'e n/n $/$
1007	pară	p'a.ră	ă	pere	p'e.re	e	212347	216318	^/^ p/p 'a/'e r/r $/$
1008	dereglare	de.re.gl'a.re	e	dereglări	de.re.gl'ări	i	96877	96906	^/^ d/d e/e r/r e/e g/g l/l 'a/'ă r/r $/$
1009	adjunctă	ad.j'unc.tă	ă	adjuncte	ad.j'unc.te	e	22158	22146	^/^ a/a d/d j/j 'u/'u n/n c/c t/t $/$
1010	autofurajare	a.u.to.fu.ra.j'a.re	e	autofurajări	a.u.to.fu.ra.j'ări	i	41560	41562	^/^ a/a u/u t/t o/o f/f u/u r/r a/a j/j 'a/'ă r/r $/$
1011	hăinuță	hăi.n'u.ță	ă	hăinuțe	hăi.n'u.țe	e	140704	140699	^/^ h/h ă/ă i/i n/n 'u/'u ț/ț $/$
1012	pleiadă	ple.i'a.dă	ă	pleiade	ple.i'a.de	e	221560	221554	^/^ p/p l/l e/e i/i 'a/'a d/d $/$
1013	iobag	io.b'ag		iobagi	io.b'agi	i	157968	157969	^/^ i/i o/o b/b 'a/'a g/g $/$
1014	polizare	po.li.z'a.re	e	polizări	po.li.z'ări	i	223893	223905	^/^ p/p o/o l/l i/i z/z 'a/'ă r/r $/$
1015	intabulare	in.ta.bu.l'a.re	e	intabulări	in.ta.bu.l'ări	i	154208	154251	^/^ i/i n/n t/t a/a b/b u/u l/l 'a/'ă r/r $/$
1016	alevin	a.le.v'in		alevini	a.le.v'ini	i	26457	26458	^/^ a/a l/l e/e v/v 'i/'i n/n $/$
1017	băimăreancă	băi.mă.re'an.că	ă	băimărence	băi.mă.r'en.ce	e	44024	44028	^/^ b/b ă/ă i/i m/m ă/ă r/r e'a/'e n/n c/c $/$
1018	spectroheliograf	spec.tro.he.li.o.gr'af		spectroheliografe	spec.tro.he.li.o.gr'a.fe	e	274512	274513	^/^ s/s p/p e/e c/c t/t r/r o/o h/h e/e l/l i/i o/o g/g r/r 'a/'a f/f $/$
1019	obtuzitate	ob.tu.zi.t'a.te	e	obtuzități	ob.tu.zi.t'ăți	i	204023	204025	^/^ o/o b/b t/t u/u z/z i/i t/t 'a/'ă t/ț $/$
1020	echimoză	e.chi.m'o.ză	ă	echimoze	e.chi.m'o.ze	e	112643	112637	^/^ e/e c/c h/h i/i m/m 'o/'o z/z $/$
1021	muzeu	mu.z'eu	u	muzee	mu.z'e.e	e	184615	184583	^/^ m/m u/u z/z 'e/'e $/$
1022	federație	fe.de.r'a.ți.e	e	federații	fe.de.r'a.ții	i	125095	125098	^/^ f/f e/e d/d e/e r/r 'a/'a ț/ț i/i $/$
1023	banalitate	ba.na.li.t'a.te	e	banalități	ba.na.li.t'ăți	i	45628	45630	^/^ b/b a/a n/n a/a l/l i/i t/t 'a/'ă t/ț $/$
1024	fericită	fe.ri.c'i.tă	ă	fericite	fe.ri.c'i.te	e	125705	125689	^/^ f/f e/e r/r i/i c/c 'i/'i t/t $/$
1025	ivăr	'i.văr		ivăre	'i.vă.re	e	159708	159709	^/^ 'i/'i v/v ă/ă r/r $/$
1026	ivăr	'i.văr		ivere	'i.ve.re	e	159708	159728	^/^ 'i/'i v/v ă/e r/r $/$
1027	privată	pri.v'a.tă	ă	privăți	pri.v'ăți	i	232253	232215	^/^ p/p r/r i/i v/v 'a/'ă t/ț $/$
1028	privată	pri.v'a.tă	ă	private	pri.v'a.te	e	232253	232264	^/^ p/p r/r i/i v/v 'a/'a t/t $/$
1029	țintar	țin.t'ar		țintare	țin.t'a.re	e	3904	3905	^/^ ț/ț i/i n/n t/t 'a/'a r/r $/$
1030	țintar	țin.t'ar		țintari	țin.t'ari	i	3904	3908	^/^ ț/ț i/i n/n t/t 'a/'a r/r $/$
1031	listă	l'is.tă	ă	liste	l'is.te	e	166861	166849	^/^ l/l 'i/'i s/s t/t $/$
1032	biciuire	bi.ciu.'i.re	e	biciuiri	bi.ciu.'iri	i	47623	47625	^/^ b/b i/i c/c i/i u/u 'i/'i r/r $/$
1033	fezabilitate	fe.za.bi.li.t'a.te	e	fezabilități	fe.za.bi.li.t'ăți	i	126136	126138	^/^ f/f e/e z/z a/a b/b i/i l/l i/i t/t 'a/'ă t/ț $/$
1034	mămăligoi	mă.mă.li.g'oi		mămăligoaie	mă.mă.li.go'a.ie	e	169173	169170	^/^ m/m ă/ă m/m ă/ă l/l i/i g/g 'o/o'a i/i $/$
1035	doboș	d'o.boș		doboșuri	d'o.bo.șuri	uri	108609	108612	^/^ d/d 'o/'o b/b o/o ș/ș $/$
1036	sugiuc	su.gi'uc		sugiucuri	su.gi'u.curi	uri	282889	282892	^/^ s/s u/u g/g i/i 'u/'u c/c $/$
1037	anchilostom	an.chi.los.t'om		anchilostomi	an.chi.los.t'omi	i	30313	30314	^/^ a/a n/n c/c h/h i/i l/l o/o s/s t/t 'o/'o m/m $/$
1038	pupitru	pu.p'i.tru	u	pupitre	pu.p'i.tre	e	237880	237877	^/^ p/p u/u p/p 'i/'i t/t r/r $/$
1039	zdreanță	zdre'an.ță	ă	zdrențe	zdr'en.țe	e	311716	311724	^/^ z/z d/d r/r e'a/'e n/n ț/ț $/$
1040	voiaj	vo.i'aj		voiaje	vo.i'a.je	e	308331	308332	^/^ v/v o/o i/i 'a/'a j/j $/$
1041	voiaj	vo.i'aj		voiajuri	vo.i'a.juri	uri	308331	308337	^/^ v/v o/o i/i 'a/'a j/j $/$
1042	îndoctrinare	în.doc.tri.n'a.re	e	îndoctrinări	în.doc.tri.n'ări	i	320986	321017	^/^ î/î n/n d/d o/o c/c t/t r/r i/i n/n 'a/'ă r/r $/$
1043	conducător	con.du.că.t'or		conducători	con.du.că.t'ori	i	74538	74540	^/^ c/c o/o n/n d/d u/u c/c ă/ă t/t 'o/'o r/r $/$
1044	spânz	sp'ânz		spânji	sp'ânji	i	276122	276117	^/^ s/s p/p 'â/'â n/n z/j $/$
1045	spânz	sp'ânz		spânzi	sp'ânzi	i	276122	276123	^/^ s/s p/p 'â/'â n/n z/z $/$
1046	flacon	fla.c'on		flacoane	fla.co'a.ne	e	128054	128051	^/^ f/f l/l a/a c/c 'o/o'a n/n $/$
1047	argumentare	ar.gu.men.t'a.re	e	argumentări	ar.gu.men.t'ări	i	35898	35887	^/^ a/a r/r g/g u/u m/m e/e n/n t/t 'a/'ă r/r $/$
1048	medicinist	me.di.ci.n'ist		mediciniști	me.di.ci.n'iști	i	174466	174477	^/^ m/m e/e d/d i/i c/c i/i n/n 'i/'i s/ș t/t $/$
1049	revocare	re.vo.c'a.re	e	revocări	re.vo.c'ări	i	254720	254761	^/^ r/r e/e v/v o/o c/c 'a/'ă r/r $/$
1050	sportivă	spor.t'i.vă	ă	sportive	spor.t'i.ve	e	275602	275577	^/^ s/s p/p o/o r/r t/t 'i/'i v/v $/$
1051	pup	p'up		pupi	p'upi	i	237810	237866	^/^ p/p 'u/'u p/p $/$
1052	încercare	în.cer.c'a.re	e	încercări	în.cer.c'ări	i	318296	318285	^/^ î/î n/n c/c e/e r/r c/c 'a/'ă r/r $/$
1053	propunere	pro.p'u.ne.re	e	propuneri	pro.p'u.neri	i	235082	235084	^/^ p/p r/r o/o p/p 'u/'u n/n e/e r/r $/$
1054	păftăluță	păf.tă.l'u.ță	ă	păftăluțe	păf.tă.l'u.țe	e	209765	209760	^/^ p/p ă/ă f/f t/t ă/ă l/l 'u/'u ț/ț $/$
1055	scorer	sc'o.rer		scorere	sc'o.re.re	e	263660	263661	^/^ s/s c/c 'o/'o r/r e/e r/r $/$
1056	scorer	sc'o.rer		scoreri	sc'o.reri	i	263660	263664	^/^ s/s c/c 'o/'o r/r e/e r/r $/$
1057	prooroc	pro.o.r'oc		prooroci	pro.o.r'oci	i	234699	234713	^/^ p/p r/r o/o o/o r/r 'o/'o c/c $/$
1058	scuar	scu'ar		scuaruri	scu'a.ruri	uri	264176	264180	^/^ s/s c/c u/u 'a/'a r/r $/$
1059	picioruș	pi.cio.r'uș		piciorușe	pi.cio.r'u.șe	e	218726	218727	^/^ p/p i/i c/c i/i o/o r/r 'u/'u ș/ș $/$
1060	suspiciune	sus.pi.ci.'u.ne	e	suspiciuni	sus.pi.ci.'uni	i	286017	286019	^/^ s/s u/u s/s p/p i/i c/c i/i 'u/'u n/n $/$
1061	ajungere	a.j'un.ge.re	e	ajungeri	a.j'un.geri	i	25199	25201	^/^ a/a j/j 'u/'u n/n g/g e/e r/r $/$
1062	variantă	va.ri.'an.tă	ă	variante	va.ri.'an.te	e	304284	304278	^/^ v/v a/a r/r i/i 'a/'a n/n t/t $/$
1063	cafea	ca.fe'a		cafele	ca.f'e.le	le	56592	56603	^/^ c/c a/a f/f e'a/'e $/$
1064	legumă	le.g'u.mă	ă	legume	le.g'u.me	e	164784	164766	^/^ l/l e/e g/g 'u/'u m/m $/$
1065	socoteală	so.co.te'a.lă	ă	socoteli	so.co.t'eli	i	272620	272625	^/^ s/s o/o c/c o/o t/t e'a/'e l/l $/$
1066	princip	prin.c'ip		principii	prin.c'i.pii	i	231823	231885	^/^ p/p r/r i/i n/n c/c 'i/'i p/p 0/i $/$
1067	păsărea	pă.să.re'a		păsărele	pă.să.r'e.le	le	210400	210402	^/^ p/p ă/ă s/s ă/ă r/r e'a/'e $/$
1068	etică	'e.ti.că	ă	etici	'e.tici	i	118012	118087	^/^ 'e/'e t/t i/i c/c $/$
1069	serial	se.ri.'al		seriale	se.ri.'a.le	e	267383	267384	^/^ s/s e/e r/r i/i 'a/'a l/l $/$
1070	serial	se.ri.'al		serialuri	se.ri.'a.luri	uri	267383	267390	^/^ s/s e/e r/r i/i 'a/'a l/l $/$
1071	mungiu	mun.g'iu	iu	mungii	mun.g'ii	ii	183720	183715	^/^ m/m u/u n/n g/g $/$
1072	mungiu	mun.g'iu	iu	mungii	mun.g'ii	ii	183720	183716	^/^ m/m u/u n/n g/g $/$
1073	vișină	v'i.și.nă	ă	vișine	v'i.și.ne	e	305963	305943	^/^ v/v 'i/'i ș/ș i/i n/n $/$
1074	mâzgă	m'âz.gă	ă	mâzgi	m'âzgi	i	185456	185453	^/^ m/m 'â/'â z/z g/g $/$
1075	șiră	ș'i.ră	ă	șire	ș'i.re	e	1248	1251	^/^ ș/ș 'i/'i r/r $/$
1076	conexiune	co.ne.xi.'u.ne	e	conexiuni	co.ne.xi.'uni	i	74744	74746	^/^ c/c o/o n/n e/e x/x i/i 'u/'u n/n $/$
1077	roată	ro'a.tă	ă	roți	r'oți	i	257016	256980	^/^ r/r o'a/'o t/ț $/$
1078	roată	ro'a.tă	ă	roate	ro'a.te	e	257016	257012	^/^ r/r o'a/o'a t/t $/$
1079	păianjen	pă.i'an.jen		păianjeni	pă.i'an.jeni	i	209927	209928	^/^ p/p ă/ă i/i 'a/'a n/n j/j e/e n/n $/$
1080	mexicană	me.xi.c'a.nă	ă	mexicane	me.xi.c'a.ne	e	176449	176429	^/^ m/m e/e x/x i/i c/c 'a/'a n/n $/$
1081	regăsire	re.gă.s'i.re	e	regăsiri	re.gă.s'iri	i	248089	248091	^/^ r/r e/e g/g ă/ă s/s 'i/'i r/r $/$
1082	colaps	co.l'aps		colapsuri	co.l'ap.suri	uri	69935	69945	^/^ c/c o/o l/l 'a/'a p/p s/s $/$
1083	fântânea	fân.tâ.ne'a		fântânele	fân.tâ.n'e.le	le	133838	133841	^/^ f/f â/â n/n t/t â/â n/n e'a/'e $/$
1084	procreare	pro.cre.'a.re	e	procreări	pro.cre.'ări	i	233193	233195	^/^ p/p r/r o/o c/c r/r e/e 'a/'ă r/r $/$
1085	statalitate	sta.ta.li.t'a.te	e	statalități	sta.ta.li.t'ăți	i	276946	276948	^/^ s/s t/t a/a t/t a/a l/l i/i t/t 'a/'ă t/ț $/$
1086	crușân	cru.ș'ân		crușâni	cru.ș'âni	i	84343	84344	^/^ c/c r/r u/u ș/ș 'â/'â n/n $/$
1087	născută	năs.c'u.tă	ă	născute	năs.c'u.te	e	186034	186021	^/^ n/n ă/ă s/s c/c 'u/'u t/t $/$
1088	telespectator	te.le.spec.ta.t'or		telespectatori	te.le.spec.ta.t'ori	i	289120	289121	^/^ t/t e/e l/l e/e s/s p/p e/e c/c t/t a/a t/t 'o/'o r/r $/$
1089	pancartă	pan.c'ar.tă	ă	pancarte	pan.c'ar.te	e	211732	211727	^/^ p/p a/a n/n c/c 'a/'a r/r t/t $/$
1090	oblon	o.bl'on		obloane	o.blo'a.ne	e	203418	203382	^/^ o/o b/b l/l 'o/o'a n/n $/$
1091	auditare	a.u.di.t'a.re	e	auditări	a.u.di.t'ări	i	40209	40198	^/^ a/a u/u d/d i/i t/t 'a/'ă r/r $/$
1092	escortă	es.c'or.tă	ă	escorte	es.c'or.te	e	117482	117470	^/^ e/e s/s c/c 'o/'o r/r t/t $/$
1093	inundație	i.nun.d'a.ți.e	e	inundații	i.nun.d'a.ții	i	157091	157093	^/^ i/i n/n u/u n/n d/d 'a/'a ț/ț i/i $/$
1094	papă	p'a.pă	ă	papi	p'api	i	212125	212238	^/^ p/p 'a/'a p/p $/$
1095	schit	sch'it		schituri	sch'i.turi	uri	263205	263212	^/^ s/s c/c h/h 'i/'i t/t $/$
1096	ceremonie	ce.re.mo.n'i.e	e	ceremonii	ce.re.mo.n'ii	i	62456	62463	^/^ c/c e/e r/r e/e m/m o/o n/n 'i/'i $/$
1097	boleaznă	bo.le'az.nă	ă	bolezne	bo.l'ez.ne	e	50267	50271	^/^ b/b o/o l/l e'a/'e z/z n/n $/$
1098	autofecundare	a.u.to.fe.cun.d'a.re	e	autofecundări	a.u.to.fe.cun.d'ări	i	41509	41518	^/^ a/a u/u t/t o/o f/f e/e c/c u/u n/n d/d 'a/'ă r/r $/$
1099	popor	po.p'or		popoare	po.po'a.re	e	224568	224565	^/^ p/p o/o p/p 'o/o'a r/r $/$
1100	dispoziție	dis.po.z'i.ți.e	e	dispoziții	dis.po.z'i.ții	i	107099	107101	^/^ d/d i/i s/s p/p o/o z/z 'i/'i ț/ț i/i $/$
1101	batjocură	bat.j'o.cu.ră	ă	batjocuri	bat.j'o.curi	i	46468	46445	^/^ b/b a/a t/t j/j 'o/'o c/c u/u r/r $/$
1102	părăsire	pă.ră.s'i.re	e	părăsiri	pă.ră.s'iri	i	210227	210229	^/^ p/p ă/ă r/r ă/ă s/s 'i/'i r/r $/$
1103	faimă	f'ai.mă	ă	faime	f'ai.me	e	123780	123761	^/^ f/f 'a/'a i/i m/m $/$
1104	rețea	re.țe'a		rețele	re.ț'e.le	le	243193	243195	^/^ r/r e/e ț/ț e'a/'e $/$
1105	călăuză	că.lă.'u.ză	ă	călăuze	că.lă.'u.ze	e	54915	54855	^/^ c/c ă/ă l/l ă/ă 'u/'u z/z $/$
1106	plângere	pl'ân.ge.re	e	plângeri	pl'ân.geri	i	222523	222525	^/^ p/p l/l 'â/'â n/n g/g e/e r/r $/$
1107	rodie	r'o.di.e	e	rodii	r'o.dii	i	257187	257190	^/^ r/r 'o/'o d/d i/i $/$
1108	câinie	câi.n'i.e	e	câinii	câi.n'ii	i	88027	88030	^/^ c/c â/â i/i n/n 'i/'i $/$
1109	dezinfectant	de.zin.fec.t'ant		dezinfectante	de.zin.fec.t'an.te	e	102844	102848	^/^ d/d e/e z/z i/i n/n f/f e/e c/c t/t 'a/'a n/n t/t $/$
1110	desfrânată	des.frâ.n'a.tă	ă	desfrânate	des.frâ.n'a.te	e	99141	99135	^/^ d/d e/e s/s f/f r/r â/â n/n 'a/'a t/t $/$
1111	precipitație	pre.ci.pi.t'a.ți.e	e	precipitații	pre.ci.pi.t'a.ții	i	227638	227640	^/^ p/p r/r e/e c/c i/i p/p i/i t/t 'a/'a ț/ț i/i $/$
1112	retranscriere	re.tran.scri.'e.re	e	retranscrieri	re.tran.scri.'eri	i	253566	253568	^/^ r/r e/e t/t r/r a/a n/n s/s c/c r/r i/i 'e/'e r/r $/$
1113	scutec	sc'u.tec		scutece	sc'u.te.ce	e	264727	264728	^/^ s/s c/c 'u/'u t/t e/e c/c $/$
1114	doleanță	do.le.'an.ță	ă	doleanțe	do.le.'an.țe	e	109051	109045	^/^ d/d o/o l/l e/e 'a/'a n/n ț/ț $/$
1115	pohtă	p'oh.tă	ă	pohte	p'oh.te	e	223183	223178	^/^ p/p 'o/'o h/h t/t $/$
1116	petală	pe.t'a.lă	ă	petale	pe.t'a.le	e	218118	218113	^/^ p/p e/e t/t 'a/'a l/l $/$
1117	monopost	mo.no.p'ost		monoposturi	mo.no.p'os.turi	uri	181782	181785	^/^ m/m o/o n/n o/o p/p 'o/'o s/s t/t $/$
1118	dinozaur	di.no.z'a.ur		dinozauri	di.no.z'a.uri	i	105554	105555	^/^ d/d i/i n/n o/o z/z 'a/'a u/u r/r $/$
1119	reîncepere	re.în.c'e.pe.re	e	reînceperi	re.în.c'e.peri	i	255723	255726	^/^ r/r e/e î/î n/n c/c 'e/'e p/p e/e r/r $/$
1120	eleganță	e.le.g'an.ță	ă	eleganțe	e.le.g'an.țe	e	114687	114678	^/^ e/e l/l e/e g/g 'a/'a n/n ț/ț $/$
1121	ascundere	as.c'un.de.re	e	ascunderi	as.c'un.deri	i	37529	37531	^/^ a/a s/s c/c 'u/'u n/n d/d e/e r/r $/$
1122	măslină	măs.l'i.nă	ă	măsline	măs.l'i.ne	e	169837	169821	^/^ m/m ă/ă s/s l/l 'i/'i n/n $/$
1123	scul	sc'ul		sculuri	sc'u.luri	uri	264299	264441	^/^ s/s c/c 'u/'u l/l $/$
1124	cloanță	clo'an.ță	ă	cloanțe	clo'an.țe	e	68123	68117	^/^ c/c l/l o'a/o'a n/n ț/ț $/$
1125	supă	s'u.pă	ă	supe	s'u.pe	e	283303	283411	^/^ s/s 'u/'u p/p $/$
1126	împușcătură	îm.puș.că.t'u.ră	ă	împușcături	îm.puș.că.t'uri	i	316248	316243	^/^ î/î m/m p/p u/u ș/ș c/c ă/ă t/t 'u/'u r/r $/$
1127	platcă	pl'at.că	ă	plătci	pl'ătci	i	221217	220447	^/^ p/p l/l 'a/'ă t/t c/c $/$
1128	periferie	pe.ri.fe.r'i.e	e	periferii	pe.ri.fe.r'ii	i	216805	216807	^/^ p/p e/e r/r i/i f/f e/e r/r 'i/'i $/$
1129	tohoarcă	to.ho'ar.că	ă	tohoarce	to.ho'ar.ce	e	292289	292284	^/^ t/t o/o h/h o'a/o'a r/r c/c $/$
1130	maestră	ma.'es.tră	ă	maestre	ma.'es.tre	e	170504	170496	^/^ m/m a/a 'e/'e s/s t/t r/r $/$
1131	lan	l'an		lanuri	l'a.nuri	uri	163486	163613	^/^ l/l 'a/'a n/n $/$
1132	neconcordanță	ne.con.cor.d'an.ță	ă	neconcordanțe	ne.con.cor.d'an.țe	e	188843	188838	^/^ n/n e/e c/c o/o n/n c/c o/o r/r d/d 'a/'a n/n ț/ț $/$
1133	pilor	pi.l'or		pilori	pi.l'ori	i	219497	219498	^/^ p/p i/i l/l 'o/'o r/r $/$
1134	bleah	ble'ah		bleahuri	ble'a.huri	uri	49128	49131	^/^ b/b l/l e'a/e'a h/h $/$
1135	ștreang	ștre'ang		ștreanguri	ștre'an.guri	uri	2875	2878	^/^ ș/ș t/t r/r e'a/e'a n/n g/g $/$
1136	paradox	pa.ra.d'ox		paradoxe	pa.ra.d'o.xe	e	212571	212586	^/^ p/p a/a r/r a/a d/d 'o/'o x/x $/$
1137	paradox	pa.ra.d'ox		paradoxuri	pa.ra.d'o.xuri	uri	212571	212591	^/^ p/p a/a r/r a/a d/d 'o/'o x/x $/$
1138	părinte	pă.r'in.te	e	părinți	pă.r'inți	i	210293	210309	^/^ p/p ă/ă r/r 'i/'i n/n t/ț $/$
1139	plătire	plă.t'i.re	e	plătiri	plă.t'iri	i	220468	220470	^/^ p/p l/l ă/ă t/t 'i/'i r/r $/$
1140	antenă	an.t'e.nă	ă	antene	an.t'e.ne	e	31521	31496	^/^ a/a n/n t/t 'e/'e n/n $/$
1141	geamantănaș	gea.man.tă.n'aș		geamantănașe	gea.man.tă.n'a.șe	e	135177	135178	^/^ g/g ea/ea m/m a/a n/n t/t ă/ă n/n 'a/'a ș/ș $/$
1142	vâslaș	vâs.l'aș		vâslași	vâs.l'ași	i	309953	309954	^/^ v/v â/â s/s l/l 'a/'a ș/ș $/$
1143	analizat	a.na.li.z'at		analizați	a.na.li.z'ați	i	30043	30066	^/^ a/a n/n a/a l/l i/i z/z 'a/'a t/ț $/$
1144	emisferă	e.mis.f'e.ră	ă	emisfere	e.mi.sf'e.re	e	115577	115571	^/^ e/e m/m i/i s/s f/f 'e/'e r/r $/$
1145	pricepere	pri.c'e.pe.re	e	priceperi	pri.c'e.peri	i	231133	231135	^/^ p/p r/r i/i c/c 'e/'e p/p e/e r/r $/$
1146	trăire	tră.'i.re	e	trăiri	tră.'iri	i	293211	293213	^/^ t/t r/r ă/ă 'i/'i r/r $/$
1147	bonificație	bo.ni.fi.c'a.ți.e	e	bonificații	bo.ni.fi.c'a.ții	i	50670	50672	^/^ b/b o/o n/n i/i f/f i/i c/c 'a/'a ț/ț i/i $/$
1148	brizbiz	briz.b'iz		brizbize	briz.b'i.ze	e	51790	51791	^/^ b/b r/r i/i z/z b/b 'i/'i z/z $/$
1149	brizbiz	briz.b'iz		brizbizuri	briz.b'i.zuri	uri	51790	51796	^/^ b/b r/r i/i z/z b/b 'i/'i z/z $/$
1150	bernă	b'er.nă	ă	berne	b'er.ne	e	47280	47272	^/^ b/b 'e/'e r/r n/n $/$
1151	infuzie	in.f'u.zi.e	e	infuzii	in.f'u.zii	i	152052	152054	^/^ i/i n/n f/f 'u/'u z/z i/i $/$
1152	gabarit	ga.ba.r'it		gabarite	ga.ba.r'i.te	e	134378	134379	^/^ g/g a/a b/b a/a r/r 'i/'i t/t $/$
